id	name	type	class	set	rarity	race	cost	attack	health	power
136	Cult Master	Minion	Neutral	Expert	Common		4	4	2	"Whenever one of your other minions dies, draw a card."
137	Dragonling Mechanic	Minion	Neutral	Basic	Free		4	2	4	Battlecry: Summon a 2/1 Mechanical Dragonling.
138	Gnomish Inventor	Minion	Neutral	Basic	Free		4	2	4	Battlecry: Draw a card.
139	Keeper of the Grove	Minion	Druid	Expert	Rare		4	2	4	Choose One - Deal 2 damage; or Silence a minion.
140	Old Murk-Eye	Minion	Neutral	Reward	Legendary	Murloc	4	2	4	Charge. Has +1 Attack for each other Murloc on the battlefield.
141	Mogu'shan Warden	Minion	Neutral	Expert	Common		4	1	7	Taunt
142	Defender of Argus	Minion	Neutral	Expert	Rare		4	2	3	Battlecry: Give adjacent minions +1/+1 and Taunt.
143	Twilight Drake	Minion	Neutral	Expert	Rare	Dragon	4	4	1	Battlecry: Gain +1 Health for each card in your hand.
144	Lightspawn	Minion	Priest	Expert	Common		4	0	5	This minion's Attack is always equal to its Health.
145	Summoning Portal	Minion	Warlock	Expert	Common		4	0	4	"Your minions cost (2) less, but not less than (1)."
146	Earth Elemental	Minion	Shaman	Expert	Epic		5	7	8	Taunt. Overload: (3)
147	Venture Co. Mercenary	Minion	Neutral	Expert	Common		5	7	6	Your minions cost (3) more.
148	Doomguard	Minion	Warlock	Expert	Rare	Demon	5	5	7	Charge. Battlecry: Discard two random cards.
149	Elite Tauren Chieftain	Minion	Neutral	Promotion	Legendary		5	5	5	Battlecry: Give both players the power to ROCK! (with a Power Chord card)
150	Stranglethorn Tiger	Minion	Neutral	Expert	Common	Beast	5	5	5	Stealth
151	Spiteful Smith	Minion	Neutral	Expert	Common		5	4	6	Enrage: Your weapon has +2 Attack.
152	Booty Bay Bodyguard	Minion	Neutral	Basic	Free		5	5	4	Taunt
153	Captain Greenskin	Minion	Neutral	Expert	Legendary	Pirate	5	5	4	Battlecry: Give your weapon +1/+1.
154	Harrison Jones	Minion	Neutral	Expert	Legendary		5	5	4	Battlecry: Destroy your opponent's weapon and draw cards equal to its Durability.
155	Darkscale Healer	Minion	Neutral	Basic	Free		5	4	5	Battlecry: Restore 2 Health to all friendly characters.
156	Fen Creeper	Minion	Neutral	Expert	Common		5	3	6	Taunt
157	Abomination	Minion	Neutral	Expert	Rare		5	4	4	Taunt. Deathrattle: Deal 2 damage to ALL characters.
158	Azure Drake	Minion	Neutral	Expert	Rare	Dragon	5	4	4	Spell Damage +1. Battlecry: Draw a card.
159	Druid of the Claw	Minion	Druid	Expert	Common		5	4	4	Choose One - Charge; or +2 Health and Taunt.
160	Frostwolf Warlord	Minion	Neutral	Basic	Free		5	4	4	Battlecry: Gain +1/+1 for each other friendly minion on the battlefield.
161	Gadgetzan Auctioneer	Minion	Neutral	Expert	Rare		5	4	4	"Whenever you cast a spell, draw a card."
162	Nightblade	Minion	Neutral	Basic	Free		5	4	4	Battlecry: Deal 3 damage to the enemy hero.
163	Silver Hand Knight	Minion	Neutral	Expert	Common		5	4	4	Battlecry: Summon a 2/2 Squire.
164	Stampeding Kodo	Minion	Neutral	Expert	Rare	Beast	5	3	5	Battlecry: Destroy a random enemy minion with 2 or less Attack.
165	Gurubashi Berserker	Minion	Neutral	Basic	Free		5	2	7	"Whenever this minion takes damage, gain +3 Attack."
166	Tundra Rhino	Minion	Hunter	Basic	Free	Beast	5	2	5	Your Beasts have Charge.
167	Faceless Manipulator	Minion	Neutral	Expert	Epic		5	3	3	Battlecry: Choose a minion and become a copy of it.
168	Stormpike Commando	Minion	Neutral	Basic	Free		5	4	2	Battlecry: Deal 2 damage.
169	The Beast	Minion	Neutral	Expert	Legendary	Beast	6	9	7	Deathrattle: Summon a 3/3 Finkle Einhorn for your opponent.
170	Boulderfist Ogre	Minion	Neutral	Basic	Free		6	6	7	
171	Dread Infernal	Minion	Warlock	Basic	Free	Demon	6	6	6	Battlecry: Deal 1 damage to ALL other characters.
172	Gelbin Mekkatorque	Minion	Neutral	Promotion	Legendary		6	6	6	Battlecry: Summon an AWESOME invention.
173	Temple Enforcer	Minion	Priest	Expert	Common		6	6	6	Battlecry: Give a friendly minion +3 Health.
174	Illidan Stormrage	Minion	Neutral	Expert	Legendary	Demon	6	7	5	"Whenever you play a card, summon a 2/1 Flame of Azzinoth."
175	Fire Elemental	Minion	Shaman	Basic	Free		6	6	5	Battlecry: Deal 3 damage.
176	Lord of the Arena	Minion	Neutral	Basic	Free		6	6	5	Taunt
177	Savannah Highmane	Minion	Hunter	Expert	Rare	Beast	6	6	5	Deathrattle: Summon two 2/2 Hyenas.
178	Archmage	Minion	Neutral	Basic	Free		6	4	7	Spell Damage +1
179	Frost Elemental	Minion	Neutral	Expert	Common		6	5	5	Battlecry: Freeze a character.
180	Sylvanas Windrunner	Minion	Neutral	Expert	Legendary		6	5	5	Deathrattle: Take control of a random enemy minion.
181	Priestess of Elune	Minion	Neutral	Expert	Common		6	5	4	Battlecry: Restore 4 Health to your hero.
182	Cabal Shadow Priest	Minion	Priest	Expert	Epic		6	4	5	Battlecry: Take control of an enemy minion that has 2 or less Attack.
183	Cairne Bloodhoof	Minion	Neutral	Expert	Legendary		6	4	5	Deathrattle: Summon a 4/5 Baine Bloodhoof.
184	Sunwalker	Minion	Neutral	Expert	Rare		6	4	5	Taunt. Divine Shield
185	The Black Knight	Minion	Neutral	Expert	Legendary		6	4	5	Battlecry: Destroy an enemy minion with Taunt.
186	Windfury Harpy	Minion	Neutral	Expert	Common		6	4	5	Windfury
187	Hogger	Minion	Neutral	Expert	Legendary		6	4	4	"At the end of your turn, summon a 2/2 Gnoll with Taunt."
188	Kidnapper	Minion	Rogue	Expert	Epic		6	5	3	Combo: Return a minion to its owner's hand.
189	Reckless Rocketeer	Minion	Neutral	Basic	Free		6	5	2	Charge
190	Argent Commander	Minion	Neutral	Expert	Rare		6	4	2	"Charge, Divine Shield"
191	Prophet Velen	Minion	Priest	Expert	Legendary		7	7	7	Double the damage and healing of your spells and Hero Power.
192	War Golem	Minion	Neutral	Basic	Free		7	7	7	
193	Core Hound	Minion	Neutral	Basic	Free	Beast	7	9	5	
194	Stormwind Champion	Minion	Neutral	Basic	Free		7	6	6	Your other minions have +1/+1.
195	Baron Geddon	Minion	Neutral	Expert	Legendary		7	7	5	"At the end of your turn, deal 2 damage to ALL other characters."
196	Ravenholdt Assassin	Minion	Neutral	Expert	Rare		7	7	5	Stealth
197	Archmage Antonidas	Minion	Mage	Expert	Legendary		7	5	7	"Whenever you cast a spell, put a 'Fireball' spell into your hand."
198	Guardian of Kings	Minion	Paladin	Basic	Free		7	5	6	Battlecry: Restore 6 Health to your hero.
199	Ancient of Lore	Minion	Druid	Expert	Epic		7	5	5	Choose One - Draw 2 cards; or Restore 5 Health.
200	Ancient of War	Minion	Druid	Expert	Epic		7	5	5	Choose One - +5 Attack; or +5 Health and Taunt.
201	Ironbark Protector	Minion	Druid	Basic	Free		8	8	8	Taunt
202	Ragnaros the Firelord	Minion	Neutral	Expert	Legendary		8	8	8	"Can't Attack. At the end of your turn, deal 8 damage to a random enemy."
203	Gruul	Minion	Neutral	Expert	Legendary		8	7	7	"At the end of each turn, gain +1/+1."
204	Tirion Fordring	Minion	Paladin	Expert	Legendary		8	6	6	Divine Shield. Taunt. Deathrattle: Equip a 5/3 Ashbringer.
205	Grommash Hellscream	Minion	Warrior	Expert	Legendary		8	4	9	Charge. Enrage: +6 Attack
206	Al'Akir the Windlord	Minion	Shaman	Expert	Legendary		8	3	5	"Windfury, Charge, Divine Shield, Taunt"
207	Alexstrasza	Minion	Neutral	Expert	Legendary	Dragon	9	8	8	Battlecry: Set a hero's remaining Health to 15.
208	King Krush	Minion	Hunter	Expert	Legendary	Beast	9	8	8	Charge
209	Nozdormu	Minion	Neutral	Expert	Legendary	Dragon	9	8	8	Players only have 15 seconds to take their turns.
210	Onyxia	Minion	Neutral	Expert	Legendary	Dragon	9	8	8	Battlecry: Summon 1/1 Whelps until your side of the battlefield is full.
211	Malygos	Minion	Neutral	Expert	Legendary	Dragon	9	4	12	Spell Damage +5
212	Ysera	Minion	Neutral	Expert	Legendary	Dragon	9	4	12	"At the end of your turn, draw a Dream Card."
213	Lord Jaraxxus	Minion	Warlock	Expert	Legendary	Demon	9	3	15	Battlecry: Destroy your hero and replace him with Lord Jaraxxus.
214	Cenarius	Minion	Druid	Expert	Legendary		9	5	8	Choose One - Give your other minions +2/+2; or Summon two 2/2 Treants with Taunt.
215	Deathwing	Minion	Neutral	Expert	Legendary	Dragon	10	12	12	Battlecry: Destroy all other minions and discard your hand.
216	Sea Giant	Minion	Neutral	Expert	Epic		10	8	8	Costs (1) less for each other minion on the battlefield.
217	Mountain Giant	Minion	Neutral	Expert	Epic		12	8	8	Costs (1) less for each other card in your hand.
218	Molten Giant	Minion	Neutral	Expert	Epic		20	8	8	Costs (1) less for each damage your hero has taken.
219	Innervate	Spell	Druid	Basic	Free		0			Gain 2 Mana Crystals this turn only.
220	Moonfire	Spell	Druid	Basic	Free		0			Deal 1 damage.
221	Claw	Spell	Druid	Basic	Free		1			Give your hero +2 Attack this turn and 2 Armor.
222	Naturalize	Spell	Druid	Expert	Common		1			Destroy a minion. Your opponent draws 2 cards.
223	Savagery	Spell	Druid	Expert	Rare		1			Deal damage equal to your hero's Attack to a minion.
224	Mark of the Wild	Spell	Druid	Basic	Free		2			Give a minion Taunt and +2/+2.
225	Power of the Wild	Spell	Druid	Expert	Common		2			Choose One - Give your minions +1/+1; or Summon a 3/2 Panther.
226	Wild Growth	Spell	Druid	Basic	Free		2			Gain an empty Mana Crystal.
227	Wrath	Spell	Druid	Expert	Common		2			Choose One - Deal 3 damage to a minion; or 1 damage and draw a card.
228	Healing Touch	Spell	Druid	Basic	Free		3			Restore 8 Health.
229	Mark of Nature	Spell	Druid	Expert	Common		3			Choose One - Give a minion +4 Attack; or +4 Health and Taunt.
230	Savage Roar	Spell	Druid	Basic	Free		3			Give your characters +2 Attack this turn.
231	Bite	Spell	Druid	Expert	Rare		4			Give your hero +4 Attack this turn and 4 Armor.
232	Soul of the Forest	Spell	Druid	Expert	Common		4			"Give your minions ""Deathrattle: Summon a 2/2 Treant."""
233	Swipe	Spell	Druid	Basic	Free		4			Deal 4 damage to an enemy and 1 damage to all other enemies.
234	Nourish	Spell	Druid	Expert	Rare		5			Choose One: Gain 2 Mana Crystals; or Draw 3 cards.
235	Starfall	Spell	Druid	Expert	Rare		5			Choose One: Deal 5 damage to a minion; or 2 damage to all enemy minions.
236	Force of Nature	Spell	Druid	Expert	Epic		6			Summon three 2/2 Treants with Charge that die at the end of the turn.
237	Starfire	Spell	Druid	Basic	Free		6			Deal 5 damage. Draw a card.
238	Hunter's Mark	Spell	Hunter	Basic	Free		0			Change a minion's Health to 1.
239	Arcane Shot	Spell	Hunter	Basic	Free		1			Deal 2 damage.
240	Bestial Wrath	Spell	Hunter	Expert	Epic		1			Give a Beast +2 Attack and Immune this turn.
241	Flare	Spell	Hunter	Expert	Rare		1			All minions lose Stealth. Destroy all enemy Secrets. Draw a card.
242	Tracking	Spell	Hunter	Basic	Free		1			Look at the top three cards of your deck. Draw one and discard the others.
243	Explosive Trap	Spell	Hunter	Expert	Common		2			"Secret: When your hero is attacked, deal 2 damage to all enemies."
244	Freezing Trap	Spell	Hunter	Expert	Common		2			"Secret: When an enemy minion attacks, return it to its owner's hand and it costs (2) more."
245	Misdirection	Spell	Hunter	Expert	Rare		2			"Secret: When a character attacks your hero, instead he attacks another random character."
246	Snake Trap	Spell	Hunter	Expert	Epic		2			"Secret: When one of your minions is attacked, summon three 1/1 Snakes."
247	Snipe	Spell	Hunter	Expert	Common		2			"Secret: When your opponent plays a minion, deal 4 damage to it."
248	Animal Companion	Spell	Hunter	Basic	Free		3			Summon a random Beast Companion.
249	Deadly Shot	Spell	Hunter	Expert	Common		3			Destroy a random enemy minion.
250	Kill Command	Spell	Hunter	Basic	Free		3			"Deal 3 damage. If you have a Beast, deal 5 damage instead."
251	Unleash the Hounds	Spell	Hunter	Expert	Common		3			"For each enemy minion, summon a 1/1 Hound with Charge."
252	Multi-Shot	Spell	Hunter	Basic	Free		4			Deal 3 damage to two random enemy minions.
253	Explosive Shot	Spell	Hunter	Expert	Rare		5			Deal 5 damage to a minion and 2 damage to adjacent ones.
254	Arcane Missiles	Spell	Mage	Basic	Free		1			Deal 3 damage randomly split among enemy characters.
255	Ice Lance	Spell	Mage	Expert	Common		1			"Freeze a character. If it was already Frozen, deal 4 damage instead."
256	Mirror Image	Spell	Mage	Basic	Free		1			Summon two 0/2 minions with Taunt.
257	Arcane Explosion	Spell	Mage	Basic	Free		2			Deal 1 damage to all enemy minions.
258	Frostbolt	Spell	Mage	Basic	Free		2			Deal 3 damage to a character and Freeze it.
259	Arcane Intellect	Spell	Mage	Basic	Free		3			Draw 2 cards.
260	Counterspell	Spell	Mage	Expert	Rare		3			"Secret: When your opponent casts a spell, Counter it."
261	Frost Nova	Spell	Mage	Basic	Free		3			Freeze all enemy minions.
262	Ice Barrier	Spell	Mage	Expert	Common		3			"Secret: As soon as your hero is attacked, gain 8 Armor."
263	Ice Block	Spell	Mage	Expert	Epic		3			"Secret: When your hero takes fatal damage, prevent it and become Immune this turn."
264	Mirror Entity	Spell	Mage	Expert	Common		3			"Secret: When your opponent plays a minion, summon a copy of it."
265	Spellbender	Spell	Mage	Expert	Epic		3			"Secret: When an enemy casts a spell on a minion, summon a 1/3 as the new target."
